fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.9,0.4451,0.1813,2.049401312441085,0.070574489612481,16.59381751499067,42.27,0.9982,3.27,0.71,8.64,7
8.4,0.5768,0.2099,3.109590324079827,0.101681448549234,22.55551936905905,16.01,0.996,3.35,0.57,10.03,8
7.54,0.5918,0.3248,3.673744380694597,0.0724155344849959,9.316866115881428,35.52,0.999,3.31,0.64,9.23,8
5.39,0.4201,0.3131,3.371814589273552,0.0727545223136335,18.21229953192828,41.97,0.9945,3.34,0.55,14.07,9
6.51,0.5675,0.194,4.404723422336784,0.0663785866479429,9.36059127492037,46.27,0.9925,3.27,0.45,11.49,8
9.18,0.3332,0.2476,2.633491249267204,0.0823041556714199,12.232170084859051,51.05,0.9965,3.4,0.63,10.82,8
4.29,0.4997,0.2932,3.7818438390463367,0.0796485060203996,10.152389063147703,44.26,0.9969,3.47,0.44,9.76,7
6.69,0.4066,0.2896,1.3408132262424164,0.0832527031156335,11.330200260317849,29.39,0.9999,3.14,0.68,8.88,7
8.72,0.4392,0.1886,3.3705018910001274,0.0820572308041054,18.14581023533652,38.49,0.9947,3.27,0.59,10.51,8
6.16,0.3924,0.283,2.290364656763298,0.0488503856091051,15.517359071666728,58.29,0.9969,3.37,0.51,9.96,7
6.39,0.5754,0.2396,2.3533286885784515,0.092976938907547,8.063702503493959,54.67,0.9981,3.43,0.57,10.52,8
7.09,0.5754,0.3299,3.8805912323207576,0.0521544712755692,8.513013523129025,36.79,0.9965,3.23,0.46,11.89,9
8.99,0.4509,0.26,3.4686388766936105,0.0739868650061735,21.7895795046526,39.0,0.9964,3.32,0.49,10.23,9
6.43,0.5576,0.288,2.331870787672276,0.1050283059992748,7.027135582976768,47.01,0.9933,3.07,0.59,7.91,6
6.67,0.5461,0.2645,5.052230163402879,0.0919077911306032,22.400426548632822,30.57,0.9979,3.25,0.82,10.1,8
6.68,0.5072,0.3033,3.758829698780621,0.1106423889881799,11.053747055710694,41.01,0.996,3.5,0.54,11.57,9
9.85,0.7358,0.2316,2.058230706252735,0.0704051444171874,15.251924713658353,50.26,1.0006,3.3,0.69,7.89,7
9.82,0.4359,0.3034,0.0771557713654109,0.0688985965732269,16.108885477657818,29.92,0.9985,3.1,0.43,7.65,7
8.4,0.5214,0.3304,2.7778119399731502,0.1035124968116056,12.593024005160418,53.64,0.995,3.39,0.64,12.43,9
7.66,0.4818,0.3618,2.108944834753938,0.0830093808521565,17.827692739604824,39.33,0.9948,3.29,0.5,10.79,8
8.08,0.4828,0.3492,1.8734613453565012,0.1215401815829638,13.78816590675371,34.63,0.9934,3.35,0.72,12.16,9
8.99,0.5359,0.2432,2.0043878410775084,0.0615896392971136,10.61759226615966,23.41,0.996,3.34,0.45,9.52,8
6.08,0.4906,0.2989,2.65313140039422,0.0946660339100077,11.027299462461082,43.73,0.9981,3.32,0.74,8.38,6
8.61,0.434,0.3104,3.814912513112499,0.0927216876892704,13.368898699536086,43.33,0.997,3.22,0.66,10.23,9
5.7,0.5324,0.2995,1.5196817741319688,0.103826312831006,22.95700740047831,27.32,0.9985,3.14,0.35,12.6,8
6.43,0.6382,0.3077,2.4296196528947887,0.0924785625156883,15.087429404022735,16.69,0.9948,3.31,0.52,8.48,7
8.29,0.6143,0.2912,2.298248881401184,0.0942136234987034,11.938133993884888,35.77,0.9983,3.39,0.55,10.1,8
5.49,0.5403,0.2427,1.6762264483777265,0.0835189712321319,8.861215851740782,25.05,0.9959,3.22,0.48,13.39,9
7.03,0.4465,0.2804,2.78129578504468,0.0997439840381728,14.792867224026,20.52,0.9985,3.22,0.67,10.01,8
6.17,0.5386,0.3123,4.272111339345857,0.0707370597536887,12.29457899337062,39.74,0.993,3.35,0.78,9.61,8
6.89,0.6285,0.2931,3.116178611921862,0.0986823465425376,3.980429157968144,36.78,0.9946,3.49,0.75,10.79,8
3.84,0.6391,0.2152,2.5711139723363905,0.1177400226213303,17.58043663631227,31.18,0.9946,3.47,0.86,11.25,7
5.07,0.556,0.2261,2.061217818707459,0.0662038678434211,18.881568120552384,29.59,0.9976,3.19,0.4,13.96,9
6.36,0.4836,0.2495,2.5467873495142888,0.0943383442668686,17.665702854286607,43.06,0.9928,3.36,0.44,11.52,8
8.31,0.4997,0.2598,0.7824570525441175,0.0888495223894402,24.162210718292982,41.54,0.9958,3.32,0.58,11.24,8
6.99,0.5972,0.2779,2.439822007113305,0.0613697827369725,17.05909264065621,52.01,0.9983,3.34,0.71,10.07,8
7.2,0.5886,0.2211,2.30670023710332,0.0822533176068954,13.481064660695464,38.27,0.9975,3.29,0.68,10.02,8
8.03,0.3442,0.3097,2.977352809669229,0.098140845244117,17.786612566288223,20.06,0.9961,3.25,0.6,10.24,8
6.14,0.5859,0.1771,3.448504700278653,0.0954550007806296,19.173338785407854,32.94,0.999,3.42,0.63,12.26,9
7.54,0.5911,0.2964,3.245329422400696,0.0627914183507195,14.576075281479522,30.16,0.9969,3.21,0.63,11.35,9
6.23,0.4313,0.2953,2.3680627696051757,0.0856524411458345,16.368722712824333,38.24,0.9966,3.33,0.87,9.0,7
5.13,0.4435,0.3022,1.982590730970489,0.0895978872281584,14.46537061530897,26.32,0.9955,3.47,0.75,12.45,8
6.73,0.4443,0.1167,1.872606926995949,0.0984952184473394,21.92075005667006,26.11,0.9996,3.3,0.61,13.53,9
7.89,0.452,0.2025,1.718294098655805,0.0811482269026754,21.42893871584484,27.33,0.9992,3.36,0.51,12.72,9
7.61,0.3783,0.2524,1.8849351620406052,0.0688681651362455,13.898685583386268,36.73,0.9967,3.42,0.39,11.4,8
7.19,0.5513,0.2784,2.3768725692102826,0.1024469138854772,11.126585758643593,46.29,0.9968,3.22,0.67,9.7,8
10.07,0.4414,0.2659,1.2797479510146152,0.0585693406754824,14.562957147564603,35.51,0.9964,3.2,0.59,12.83,10
7.7,0.513,0.2293,2.9432285913628484,0.0673147936684138,6.765770591645621,36.12,0.9961,3.21,0.73,8.63,7
8.37,0.4702,0.3342,2.391492795003097,0.0954425903057156,18.90842969688695,53.88,0.9957,3.5,0.69,11.38,9
9.89,0.5455,0.2862,1.6651142629025586,0.0866599667496272,19.489086387052534,52.96,0.9971,3.26,0.56,9.94,8
5.65,0.4189,0.2503,1.8598703260911484,0.0830373953827358,9.912278460424709,38.58,0.9945,3.31,0.74,7.75,6
5.95,0.5445,0.2206,3.338910112381142,0.0639992880182424,19.29034107631304,31.49,0.9944,3.24,0.87,10.99,8
9.29,0.559,0.2734,3.404153285171577,0.0983349340208714,13.935516104674166,46.79,0.9943,3.22,0.47,12.66,10
6.24,0.6028,0.3329,4.888721279606084,0.091569248604842,24.47246184949944,40.03,0.9978,3.26,0.61,10.57,8
7.24,0.7168,0.2718,3.0671228420018792,0.1190918103946898,26.82262649955096,53.4,0.9921,3.42,0.61,11.24,9
8.48,0.3108,0.2684,1.8243948723570516,0.0940071543575685,13.930504711275857,43.03,0.9995,3.33,0.68,8.85,7
8.27,0.552,0.2733,1.7788542185782106,0.0523251797680795,7.440182150930028,33.22,0.9948,3.35,0.79,10.11,8
9.31,0.4491,0.276,2.889152206546544,0.0821048652211616,21.433624192293003,33.41,0.9936,3.26,0.54,8.03,7
8.99,0.3275,0.2583,3.3056366531220363,0.0782267694526036,23.91316179815833,48.66,0.9959,3.37,0.65,10.76,9
8.48,0.6042,0.2214,3.90774653624038,0.0768632261136308,18.945437998322078,35.82,0.9939,3.34,0.35,11.05,9
6.27,0.6532,0.3465,1.6257740691015052,0.0760222632633655,15.206212764988726,31.58,0.9947,3.17,0.65,8.82,7
8.15,0.4808,0.3019,2.6009796016386457,0.0832953462150711,20.654814354848103,58.01,0.9951,3.35,0.63,10.02,8
7.58,0.5411,0.3759,1.3384074843706195,0.0652177724303708,9.348826922448922,28.67,0.9958,3.2,0.66,11.9,8
5.61,0.5136,0.2949,2.8798746961711634,0.0482066280105559,20.524959846216294,26.98,0.9918,3.39,0.55,12.77,8
8.9,0.5634,0.2584,1.486602107250705,0.0881674816296601,11.475592404909944,44.38,0.9968,3.3,0.75,8.72,7
8.17,0.6081,0.2227,3.955274358016336,0.1018950382975893,14.059880253165128,35.2,0.9948,3.21,0.62,12.91,10
7.25,0.5545,0.2535,1.721984330884096,0.0892064784525965,21.507712231265053,43.33,0.9921,3.35,0.46,11.19,8
6.92,0.5546,0.2124,3.1091336616424186,0.0859043188857711,21.34608763304407,36.72,0.9962,3.21,0.54,12.61,9
5.76,0.646,0.3749,2.651129105948419,0.0646299799454202,14.269624207564068,41.43,0.9997,3.34,0.67,9.29,7
7.44,0.5035,0.2691,2.54908460831002,0.0972492516139025,11.808932850238062,39.45,0.9925,3.15,0.68,8.51,7
7.76,0.6123,0.3093,0.6957266949133436,0.0406370167543263,15.70127378869834,34.17,0.9956,3.33,0.55,11.55,8
6.2,0.4378,0.3181,2.4088970873070905,0.1207165387307674,10.567496157696452,47.54,0.9962,3.35,0.59,10.68,7
8.59,0.6807,0.324,1.5204491215673706,0.0689217164990192,21.06363573583276,37.06,0.9987,3.2,0.55,8.86,7
5.88,0.5938,0.3974,1.9149999226987864,0.0942702342931141,11.651428969166597,41.05,0.9939,3.2,0.41,11.84,8
4.65,0.4796,0.2652,2.988720978943949,0.0708476396548686,9.951947611987878,44.72,0.998,3.21,0.6,10.79,8
8.45,0.3085,0.2609,5.217428732868298,0.0821570072811343,19.383602720031966,33.23,0.9945,3.18,0.5,10.15,9
6.72,0.52,0.2782,4.398205964180271,0.0731521250601896,16.790286548228977,39.58,0.9976,3.31,0.51,7.88,7
7.05,0.4018,0.3074,3.016636199074361,0.0399469220680899,11.980563624181832,50.14,0.9982,3.25,0.56,11.3,8
6.19,0.55,0.2789,2.8853927647525066,0.0925655404876987,12.308536232553829,39.19,0.9952,3.21,0.51,11.34,8
5.27,0.6651,0.2566,2.1491660891033364,0.0586172735710818,13.919798673915627,44.66,0.9935,3.32,0.49,10.05,7
8.71,0.536,0.2342,1.4989648842967145,0.0570061104352408,10.482226227062004,38.19,0.9966,3.16,0.68,9.16,8
6.37,0.5022,0.2313,2.9429747437675275,0.0702797252124027,15.880175653247491,44.36,0.9963,3.33,0.45,10.64,8
9.19,0.5542,0.2835,2.0555517831111683,0.074286633087028,13.993145359296182,34.67,0.9936,3.43,0.52,13.78,10
8.17,0.5486,0.2201,4.256205798780344,0.0870343081141965,6.798917680065232,40.25,0.9967,3.53,0.52,12.39,10
6.82,0.2837,0.1793,4.646384551911089,0.0697799275380993,12.918894127081344,49.17,0.9959,3.21,0.68,9.61,8
5.9,0.5441,0.2758,4.640420777166207,0.1336557588058537,22.13850350845357,53.39,0.9959,3.21,0.68,11.1,8
6.32,0.582,0.3281,1.864503435481955,0.0492032437101342,10.354139358165632,38.3,0.9962,3.17,0.79,10.02,7
5.74,0.4941,0.3031,1.9927326186513168,0.0734791116675767,12.042560391514773,39.32,0.996,3.47,0.56,11.32,8
9.7,0.6179,0.2691,1.289081113236534,0.0897110348110433,12.99462923948244,39.15,0.9949,3.48,0.59,11.83,9
7.4,0.5072,0.2902,3.148398075188105,0.1017639816113527,14.461410083848987,47.62,0.9972,3.47,0.52,13.42,10
8.58,0.5967,0.1876,1.6451643341836446,0.0925792062855756,8.09448590673944,21.02,0.9939,3.24,0.53,10.87,8
5.68,0.7473,0.2355,1.8962266327967892,0.0969327756633299,11.075261547741109,52.52,0.9999,3.47,0.78,7.48,6
7.42,0.5104,0.3539,1.6124303829427036,0.0661360222661265,14.0401397548847,27.73,0.9905,3.28,0.5,10.47,8
8.61,0.3258,0.3292,1.9431665604275503,0.0919049982924587,18.10048703799168,35.37,0.9976,3.12,0.62,8.87,8
6.8,0.4863,0.2344,4.153725892005528,0.1060560908361715,17.521525615047185,49.6,0.9977,3.12,0.62,10.4,8
8.44,0.3474,0.3577,0.0333329318950164,0.0898496433394869,16.221238207141596,39.88,0.9954,3.35,0.61,11.09,8
5.9,0.5811,0.2341,3.0258928211564378,0.1278936184518161,16.246370127096032,40.44,0.9936,3.15,0.55,12.13,9
5.56,0.6509,0.2288,1.693601353936569,0.0788121730772999,10.145213374528955,41.7,0.9961,3.39,0.75,12.89,8
7.66,0.5896,0.3468,4.844212722750775,0.0733912344448326,5.407589512474365,42.86,0.9941,3.4,0.7,12.42,10
6.74,0.552,0.3354,3.327985526873181,0.0455840382069322,7.931084803894971,37.59,0.9954,3.48,0.56,9.71,7
7.97,0.4555,0.2406,1.481249002927117,0.0711962623922854,16.77090783176397,38.57,0.9942,3.25,0.8,9.27,7
4.83,0.6776,0.2675,1.8892506757634853,0.0902660281120214,17.370371763660103,51.58,0.998,3.21,0.69,10.65,7
8.05,0.5953,0.2529,1.930069128604217,0.0979310944789022,10.105265072507311,50.95,0.9959,3.22,0.62,11.37,8
10.32,0.5484,0.2952,3.650657995436157,0.1079426032886484,23.36417631949353,62.9,0.9983,3.29,0.45,12.38,10
7.17,0.5405,0.3484,4.194467402446538,0.0844062044218524,23.19444719260929,54.96,0.9959,3.23,0.65,9.86,8
7.24,0.5312,0.2966,2.653617509870616,0.0686195371204167,10.679980328131416,46.83,0.9925,3.28,0.67,10.35,8
7.42,0.5652,0.2643,2.3567789244086628,0.0536299143620672,15.460999090413868,48.5,0.9963,3.41,0.62,9.91,8
4.97,0.4587,0.2027,3.54374501057934,0.0763563376405308,20.37911732911534,45.81,0.9988,3.28,0.59,9.02,7
7.71,0.6725,0.3089,2.527361259258409,0.0594648012958139,22.45634966928892,41.76,0.9957,3.21,0.6,11.52,8
5.27,0.5352,0.2089,2.9679559164605838,0.0760014657184259,16.134893906148104,27.6,0.9935,3.3,0.63,10.97,7
6.69,0.58,0.2606,2.721304046747307,0.0522417438198463,12.58256625983574,43.26,0.9953,3.18,0.63,11.67,8
8.69,0.4766,0.3179,1.7117411831889098,0.0729129605901226,17.921473963819846,33.3,0.9937,3.3,0.67,10.78,8
6.32,0.5575,0.3106,3.8632630533652295,0.0673619441109012,17.553052706104566,44.8,0.9979,3.43,0.48,10.76,8
7.8,0.2918,0.3119,1.908140525092423,0.1003861626595653,23.617158136379917,49.34,0.9937,3.23,0.61,12.01,9
8.42,0.4082,0.3049,4.437799248685443,0.0566078041770316,18.848046755621237,24.59,0.994,3.21,0.56,7.7,7
7.53,0.5169,0.2773,3.680183835557611,0.0462852855630226,17.496621981898596,48.75,0.9959,3.28,0.65,9.22,8
5.55,0.3878,0.2851,2.6937008508265508,0.09568748517175,14.818686085510972,38.01,0.9985,3.51,0.42,11.21,8
6.8,0.7639,0.2746,1.2562143205247245,0.1101178036839595,17.68842909289526,49.2,0.9941,3.3,0.63,11.11,8
9.55,0.3532,0.2941,4.175827096979312,0.0954650023095684,4.208686250893784,48.29,0.9956,3.18,0.62,9.88,9
4.77,0.5546,0.2968,2.8153781421219,0.0771566701330031,16.328778836529867,30.73,0.9951,3.36,0.66,9.12,6
6.87,0.6856,0.2767,3.393568945326862,0.0628268870669288,18.2292107786768,35.83,0.9953,3.36,0.82,12.62,9
6.54,0.5681,0.2957,3.9769353847613327,0.075808843359369,6.989275588785963,44.53,0.9916,3.45,0.42,9.11,7
7.34,0.489,0.2358,1.3799972847251785,0.0721020219193577,9.74050998085599,25.72,0.9932,3.33,0.63,11.45,8
8.1,0.4648,0.2547,2.863630443996412,0.0559822411105651,5.587774663735365,38.44,0.9944,3.18,0.52,7.89,7
9.13,0.5873,0.2815,2.1230738438595447,0.0802643654204072,17.674946058081826,54.15,0.9966,3.17,0.75,9.84,8
6.88,0.44,0.3662,2.819488753004009,0.1057593385455791,19.10171037626831,49.36,0.9949,3.26,0.61,11.39,8
8.17,0.5081,0.2964,2.9571267746988634,0.0970898630048325,7.894801805778613,55.81,0.9929,3.43,0.64,7.95,7
7.8,0.5891,0.2633,0.8364261086482339,0.0870625243097985,13.480139074677783,34.48,0.9953,3.21,0.55,11.01,8
7.77,0.4892,0.259,2.271920523662472,0.0788575858227202,9.996583579218823,32.79,0.9966,3.34,0.5,12.09,9
6.52,0.5288,0.3072,2.589649103114203,0.0604137618117412,17.756232970628457,44.82,0.9991,3.24,0.64,11.53,8
6.0,0.4896,0.2651,1.2476749306682522,0.1018052581632947,10.159512890668184,34.31,0.9967,3.34,0.66,9.13,7
5.88,0.423,0.3019,1.7646524571110347,0.0512589587066619,10.541887307709418,28.09,0.994,3.45,0.47,9.46,7
6.29,0.6389,0.2956,2.624634865609918,0.0371369638412087,17.082175048270656,53.17,0.996,3.32,0.62,11.6,8
7.59,0.6593,0.2077,3.1862426243888207,0.0787497464785553,26.63048975913185,49.91,0.9954,3.24,0.6,11.0,8
8.11,0.4883,0.2936,2.3532960562459366,0.0715359219743141,10.925754273233222,38.11,0.9931,3.34,0.62,12.37,9
7.59,0.4934,0.2933,1.8012144455049404,0.0729101396978726,11.611902609809915,45.08,0.9961,3.52,0.58,8.44,7
6.54,0.5022,0.3098,1.4958287614675314,0.0945025755205849,13.494287672980503,56.27,0.9988,3.26,0.56,8.45,6
9.37,0.5739,0.2281,2.142728746763043,0.0907850315350158,17.92851780017595,32.41,0.9986,3.34,0.48,9.52,8
